Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes For Labor Org3,Labor Org3
"28, 28 ABQ, 28 LV",28-RC-247923,,"Treasure Island, LLC",RC,Las Vegas,NV,9/27/2019,34,2,28,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Directed,WON,,10/9/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-247964,,"FP Holdings, L.P. d/b/a Palms Casino Resort",RC,Las Vegas,NV,9/27/2019,22,0,18,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",Stipulated,WON,,10/9/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-248010,,"FP Holdings, L.P. d/b/a Palms Place",RC,Las Vegas,NV,9/27/2019,9,0,7,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",Stipulated,WON,,10/9/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-248287,,"Phoenix Newspapers Inc., d/b/a The Arizona Republic",RC,Phoenix,AZ,10/10/2019,101,30,64,The NewsGuild-CWA,Stipulated,WON,,10/25/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-248737,,"GNLV, LLC d/b/a Golden Nugget Las Vegas Hotel & Casino",RC,Las Vegas,NV,10/16/2019,291,130,126,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Stipulated,,LOSS,1/10/2020,Certification of Results,,,,,
"28, 28 ABQ, 28 LV",28-RC-249145,,"Treasure Island, LLC",RC,Las Vegas,NV,10/21/2019,27,3,20,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Stipulated,WON,,11/1/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-249393,,"AECOM Management Services, Inc. f/k/a URS Federal Services, Inc.",RC,Las Vegas,NV,,163,1,43,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Directed,WON,,9/25/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-249801,,"Zenetex, LLC and Tyonek Services Group, Inc.; Joint Employers",RC,Cannon Air Force Base,NM,10/25/2019,5,0,5,"International Association of Machinists and Aerospace Workers, Local Lodge 794",Stipulated,WON,,11/6/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-251452,,"Akima Technical Solutions, LLC",RC,Yuma,AZ,11/26/2019,17,0,15,"International Association of Machinists and Aerospace Workers, Local SC310, AFL-CIO",Stipulated,WON,,12/5/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-251849,,Station Casinos LLC d/b/a Palms Casino Resort,RC,Las Vegas,NV,12/4/2019,53,1,46,International Union of Operating Engineers Local 501,Stipulated,WON,,12/17/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-251953,,"Nevada Ballet Theatre, Inc.",RC,Las Vegas,NV,12/4/2019,26,4,21,American Guild of Musical Artists,Stipulated,WON,,12/17/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-252160,,"Magellan Healthcare, Inc.",RC,Yuma,AZ,12/10/2019,5,0,5,"International Association of Machinists and Aerospace Workers, Local Lodge 47",Stipulated,WON,,12/20/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-252235,,"Decypher Technologies, Ltd.",RC,Nellis AFB,NV,12/11/2019,5,0,4,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Stipulated,WON,,12/20/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-252293,,Akahi Associates LLC,RC,Nellis AFB,NV,12/11/2019,2,0,2,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Stipulated,WON,,12/20/2019,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-252480,,"MGM Resorts International Operations, Inc.",RC,Las Vegas,NV,12/18/2019,278,16,223,"General Teamsters, Airline, Aerospace and Allied Employees, Warehouse, Drivers, Construction, Rock and Sand, Local 986",Stipulated,WON,,1/3/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-254150,,"Alliance Beverage Distributing Co., LLC d/b/a Breakthru Beverage Arizona",RC,Phoenix,AZ,1/28/2020,9,1,8,"General Teamsters (Excluding Mailers) State of Arizona, Local Union No. 104",Stipulated,WON,,2/7/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-254936,,"Phoenix New Times, LLC",RC,Phoenix,AZ,4/22/2020,3,1,2,The NewsGuild-CWA,Directed,WON,,7/21/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-254977,,ERP International,RC,Las Vegas,NV,5/11/2020,4,0,1,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Directed,WON,,8/31/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-255454,,"JCS Military Support Services, Inc.",RC,Fort Bliss,TX,2/20/2020,20,9,10,"International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge 47",Stipulated,WON,,3/10/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-255857,,"Amentum Government Services Parent Holdings, LLC d/b/a Amentum",RC,El Paso,TX,2/27/2020,15,2,11,International Union of Operating Engineers Local 351,Stipulated,WON,,3/10/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-255958,,"Great Southwestern Construction, Inc.",RC,El Paso,TX,3/2/2020,28,14,10,International Brotherhood Electrical Workers Local 583,Stipulated,,LOSS,3/12/2020,Certification of Results,,,,,
"28, 28 ABQ, 28 LV",28-RC-255962,,"Columbus Electric Cooperative, Inc.",RC,Deming,NM,2/27/2020,7,0,7,"International Brotherhood of Electrical Workers, AFL/CIO Local 611",Stipulated,WON,,3/10/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-256437,,"Navajo Communications Co., Inc. d/b/a Frontier Communications Corporation",RC,Show Low,AZ,3/12/2020,36,10,23,"Communications Workers of America, AFL-CIO",Stipulated,WON,,3/24/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-256504,,"Decypher Technologies, Ltd.",RC,San Antonio,TX,3/10/2020,9,0,8,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Stipulated,WON,,3/20/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-256955,,"Balfour Beatty Communities, LLC",RC,El Paso,TX,7/7/2020,40,20,4,"International Union of Operating Engineers, Local No. 953",Stipulated,,LOSS,8/5/2020,Certification of Results,,,,,
"28, 28 ABQ, 28 LV",28-RC-257076,,"CoffeeMongers, Inc. d/b/a Humble Coffee",RC,Albuquerque,NM,5/18/2020,12,2,6,United Food and Commercial Workers Union Local 1564,Stipulated,WON,,6/24/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-257781,,New Mexico Gas Company,RC,Albuquerque,NM,8/3/2020,281,192,56,United Association of Plumbers and Pipefitters Local 412,Directed,,LOSS,9/4/2020,Certification of Results,,,,,
"28, 28 ABQ, 28 LV",28-RC-257985,,"Kerberos International, Inc.",RC,Phoenix,AZ,,15,1,7,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,WON,,6/23/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-259125,,"Baker Commodities, Inc.",RC,Phoenix,AZ,5/5/2020,18,6,12,"General Teamsters (Excluding Mailers), State of Arizona, Local 104",Directed,WON,,6/19/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-260118,,De La Paz Cleaning & Rental Service LLC d/b/a DLP Services,RC,Del Rio,TX,5/20/2020,6,1,4,"International Union of Operating Engineers Local 351, AFL-CIO",Stipulated,WON,,7/7/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-260934,,"ISS Action, Inc.",RC,El Paso,TX,6/17/2020,13,2,10,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,WON,,8/12/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-261011,,"AEG Management Las Vegas, LLC",RC,Las Vegas,NV,6/26/2020,7,0,6,International Union of Operating Engineers Local 501,Stipulated,WON,,7/29/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-261455,,"Tyonek Services Group, Inc.",RC,Yuma,AZ,6/29/2020,35,3,12,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge SC310",Stipulated,WON,,8/14/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-262364,,"Diverse Staffing Services, Inc.",RC,Las Vegas,NV,7/15/2020,4,0,1,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Stipulated,WON,,8/14/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-262438,,"Operations Management International, Inc.",RC,Santa Fe,NM,7/28/2020,5,0,5,"International Brotherhood of Teamsters, Local 492",Stipulated,WON,,8/28/2020,Certific. of Representative,,,,,
"28, 28 ABQ, 28 LV",28-RC-263449,,"EMCOR Government Services, Inc.",RC,El Paso,TX,8/18/2020,4,2,1,International Union of Operating Engineers Local 351,Stipulated,,LOSS,9/25/2020,Certification of Results,,,,,
"28, 28 ABQ, 28 LV",28-RD-248916,,Calmat Co. d/b/a Vulcan Materials Company Mountain West Division,RD,Phoenix,AZ,10/16/2019,90,30,56,"International Union of Operating Engineers, Local 428, AFL-CIO",Stipulated,WON,,11/1/2019,Certific. of Representative,,,,,
29,29-RC-215193,,FDR Services Corp.,RC,Hempstead,NY,12/3/2019,197,1,103,"Laundry Distribution and Food Service Joint Board, Workers United",Stipulated,WON,,8/6/2020,Certific. of Representative,,,,,
29,29-RC-235501,,"Island Hospitality Management II, LLC d/b/a Hampton Inn – Long Island Brookhaven",RC,Farmingville,NY,3/7/2019,20,9,11,"NEW YORK HOTEL & MOTEL TRADES COUNCIL, AFL-CIO",Stipulated,WON,,11/21/2019,Certific. of Representative,,,,,
29,29-RC-246280,,"Maryhaven Center of Hope, Inc.",RC,West Babylon,NY,9/12/2019,28,14,12,United Food & Commercial Workers Union Local 1500,Stipulated,,LOSS,10/2/2019,Certification of Results,,,,,
29,29-RC-246284,,"Maryhaven Center of Hope, Inc.",RC,West Babylon,NY,9/12/2019,6,3,2,United Food & Commercial Workers Union Local 1500,Stipulated,,LOSS,10/2/2019,Certification of Results,,,,,
29,29-RC-246550,,NYU Langone Hospital d/b/a NYU Winthrop Hospital,RC,Mineola,NY,9/25/2019,1236,142,816,1199 SEIU United Healthcare Workers East,Stipulated,WON,,10/7/2019,Certific. of Representative,,,,,
29,29-RC-247530,,Retail Services WIS Corporation d/b/a WIS International,RC,Brooklyn,NY,,150,40,19,"Warehouse Production Sales, Local 811, AFL-CIO",Stipulated,,LOSS,11/12/2019,Certification of Results,,,,,
29,29-RC-247891,,Staten Island University Hospital,RC,Staten Island,NY,10/7/2019,47,13,32,New York State Nurses Association,Stipulated,WON,,10/16/2019,Certific. of Representative,,,,,
29,29-RC-248154,,"YogaWorks, Inc.",RC,Brooklyn,NY,,124,21,58,"International Association of Machinists and Aerospace Workers, District Lodge 15, AFL-CIO",Stipulated,WON,,11/27/2019,Certific. of Representative,,,,,
29,29-RC-248552,,Platinum Amenity Services LTD,RC,Brooklyn,NY,10/16/2019,8,0,5,"Service Employees International Union, Local 32BJ",Stipulated,WON,,10/28/2019,Certific. of Representative,,,,,
29,29-RC-248957,,"UOVO Art, LLC",RC,Long Island City,NY,10/25/2019,40,21,18,"Local Union No. 814 Van Drivers, Packers and Furniture Handlers, Warehousemen's and Appliance Delivery Union",Stipulated,,LOSS,11/5/2019,Certification of Results,,,,,
29,29-RC-248960,,Platinum Amenity Services LTD,RC,Brooklyn,NY,10/24/2019,9,0,5,SEIU Local 32BJ,Stipulated,WON,,11/4/2019,Certific. of Representative,,,,,
29,29-RC-249409,,"Hogan Asphalt, LLC",RC,Staten Island,NY,10/24/2019,21,0,21,"International Association of Machinists and Aerospace Workers, Local Lodge 447, AFL-­CIO",Stipulated,WON,,11/4/2019,Certific. of Representative,,,,,
29,29-RC-249778,,"Senate Apartments, Inc., c/o Newport Management Company LLC",RC,Brooklyn,NY,11/21/2019,4,0,3,"Stationary Engineers, Firemen, Maintenance and Building Service Union Local 670, RWDSU, UFCW-AFL-CIO",Stipulated,WON,,12/5/2019,Certific. of Representative,,,,,
29,29-RC-250069,,BrightView Landscapes LLC,RC,Oceanside,NY,11/15/2019,133,98,23,"Construction Council Local Union 175, Utility Workers of America, AFL-CIO",Stipulated,,LOSS,11/26/2019,Certification of Results,,,,,
29,29-RC-250163,,"Atlantic Veal and Lamb, LLC",RC,Brooklyn,NY,12/17/2019,70,29,38,"United Food and Commercial Workers Union, Local 342",Directed,WON,,4/15/2020,Certific. of Representative,,,,,
29,29-RC-250502,,Bridge and Furniture Props LLC,RC,Brooklyn,NY,11/15/2019,13,1,0,"Local 660, United Workers of America",Stipulated,,LOSS,11/27/2019,Certification of Results,,,,,
29,29-RC-251447,,Tiebreaker Productions LLC,RC,Forest Hills,NY,12/11/2019,9,0,8,"Theatrical Stage Employees Local No. 4, International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO",Stipulated,WON,,12/20/2019,Certific. of Representative,,,,,
29,29-RC-252593,,"ABM Aviation, Inc.",RC,Jamaica,NY,12/20/2019,75,3,49,"Local 122, Barclays Center Conversion Union",Stipulated,WON,,1/3/2020,Certific. of Representative,,,,,
29,29-RC-252777,,"Eastern Effects, Inc.",RC,Brooklyn,NY,12/20/2019,23,14,8,"Communications Workers of America, AFL-CIO",Directed,,LOSS,1/3/2020,Certification of Results,,,,,
29,29-RC-252881,,"Planned Building Services, Inc.",RC,Brooklyn,NY,1/10/2020,60,24,33,32 BJ Service Employees International Union,Stipulated,WON,,7/22/2020,Certific. of Representative,,,,,
29,29-RC-252929,,"Veolia Energy North America, LLC",RC,Queens,NY,1/3/2020,5,0,5,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 30,Stipulated,WON,,1/14/2020,Certific. of Representative,,,,,
29,29-RC-253629,,Jamaica Hospital Medical Center,RC,Richmond Hill,NY,6/17/2020,15,0,10,International Union of Operating Engineers Local 30,Directed,WON,,8/19/2020,Certific. of Representative,,,,,
29,29-RC-253896,,"Kickstarter, PBC",RC,Brooklyn,NY,1/23/2020,88,37,46,"Office and Professional Employees International Union, Local 153",Stipulated,WON,,2/27/2020,Certific. of Representative,,,,,
29,29-RC-254206,,Elm Community Charter School,RC,Flushing,NY,2/7/2020,20,4,15,"United Federation of Teachers, Local 2, American Federation of Teachers, AFL-CIO",Stipulated,WON,,2/18/2020,Certific. of Representative,,,,,
29,29-RC-254368,,"RECONN Utility Services, LLC",RC,Brooklyn,NY,2/6/2020,79,36,43,Communications Workers of America,Stipulated,WON,,2/14/2020,Certific. of Representative,,,,,
29,29-RC-255349,,NYU Langone Hospital d/b/a NYU Winthrop Hospital,RC,Garden City,NY,2/27/2020,13,0,12,1199 SEIU United Healthcare Workers East,Stipulated,WON,,3/10/2020,Certific. of Representative,,,,,
29,29-RC-255353,,NYU Langone Hospital d/b/a NYU Winthrop Hospital,RC,Garden City,NY,2/27/2020,22,3,18,1199SEIU United Healthcare Workers East,Stipulated,WON,,3/10/2020,Certific. of Representative,,,,,
29,29-RC-255357,,NYU Langone Hospital d/b/a NYU Winthrop Hospital,RC,Garden City,NY,2/27/2020,23,10,12,1199 SEIU United Healthcare Workers East,Stipulated,WON,,3/10/2020,Certific. of Representative,,,,,
29,29-RC-255692,,SCO Family of Services,RC,Glen Cove,NY,2/21/2020,11,7,3,"District 6, International Union of Industrial, Service, Transport and Health Employees",Stipulated,,LOSS,3/3/2020,Certification of Results,,,,,
29,29-RC-257831,,"Planned Building Services, Inc. and Planned Lifestyle Services, Inc., part of and related to Planne",RC,Brooklyn,NY,5/15/2020,7,0,5,SEIU Local 32BJ,Directed,WON,,7/21/2020,Certific. of Representative,,,,,
29,29-RC-260849,,Hallets Cove Condominium,RC,Mineola,NY,6/19/2020,6,1,4,"Stationary Engineers, Firemen Maintenance and Building Service Employees Union, Local 670, RWDSU, UFCW, AFL-CIO",Stipulated,WON,,8/11/2020,Certific. of Representative,,,,,
29,29-RD-250344,,61 Oliver Street Owners Corp.,RD,Brooklyn,NY,11/18/2019,2,2,0,"Local 2 Building Service Employees & Factory Workers, United Service Workers Union, IUJAT",Stipulated,,LOSS,11/27/2019,Certification of Results,,,,,
29,29-RM-257958,,"Polmost Food Corp., d/b/a Associated Supermarkets",RM,Brooklyn,NY,6/12/2020,33,13,2,"Local 338, Retail, Wholesale and Department Store Union (RWDSU)",Stipulated,,LOSS,8/12/2020,Certification of Results,,,,,
31,31-RC-242329,,"APTIM FEDERAL SERVICES, LLC, A MANAGING PARTNER OF HDSS, LLC",RC,Fort Irwin,CA,8/1/2019,4,0,4,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166",Directed,WON,,3/25/2020,Certific. of Representative,,,,,
31,31-RC-248185,,City of Hope Foundation,RC,Lancaster,CA,10/3/2019,170,19,99,"Service Employees International Union, United Healthcare Workers-West",Stipulated,WON,,10/31/2019,Certific. of Representative,,,,,
31,31-RC-248867,,Los Angeles LGBT Center (Health Services),RC,Tarzana,CA,10/16/2019,37,0,28,National Union of Healthcare Workers,Stipulated,WON,,10/25/2019,Certific. of Representative,,,,,
31,31-RC-249446,,"Engineering Support Personnel, Inc.",RC,Twentynine Palms,CA,10/22/2019,45,3,29,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, DISTRICT LODGE 725",Stipulated,WON,,11/14/2019,Certific. of Representative,,,,,
31,31-RC-249910,,"IHG Management (Maryland), LLC d/b/a Crowne Plaza, Redondo Beach",RC,Redondo Beach,CA,11/6/2019,58,9,44,UNITE HERE Local 11,Stipulated,WON,,11/14/2019,Certific. of Representative,,,,,
31,31-RC-250469,,Technica LLC,RC,Barstow,CA,11/19/2019,34,2,28,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166",Stipulated,WON,,11/27/2019,Certific. of Representative,,,,,
31,31-RC-250966,,"RSCR CALIFORNIA, INC. AND NORMAL LIFE OF CALIFORNIA, INC.",RC,San Luis Obispo,CA,11/22/2019,134,57,45,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721,Directed,,LOSS,12/20/2019,Certification of Results,,,,,
31,31-RC-251004,,"Dependable Highway Express, Inc.",RC,Ontario,CA,11/22/2019,48,22,24,Teamsters Local 63,Stipulated,WON,,12/2/2019,Certific. of Representative,,,,,
31,31-RC-251586,,"Island Creek Associates, LLC",RC,China Lake,CA,12/2/2019,12,0,10,"International Association of Machinists and Aerospace Workers, District Lodge 725",Directed,WON,,12/26/2019,Certific. of Representative,,,,,
31,31-RC-251770,,"XPO Logistics Freight, Inc.",RC,Bakersfield,CA,12/6/2019,19,5,14,Teamsters Local 87,Stipulated,WON,,12/17/2019,Certific. of Representative,,,,,
31,31-RC-252289,,Los Robles Regional Medical Center,RC,Thousand Oaks,CA,12/11/2019,102,33,61,"Service Employees International Union, 121RN (SEIU 121RN)",Stipulated,WON,,12/19/2019,Certific. of Representative,,,,,
31,31-RC-254019,,"Cardinal Point Captains, Inc.",RC,Port Hueneme,CA,1/17/2020,10,2,5,"International Association of Machinists and Aerospace Workers, District Lodge 725",Directed,WON,,2/11/2020,Certific. of Representative,,,,,
31,31-RC-254030,,SA-Tech,RC,Port Hueneme,CA,2/3/2020,43,8,28,"International Association of Machinists and Aerospace Workers, District Lodge 725",Stipulated,WON,,2/11/2020,Certific. of Representative,,,,,
31,31-RC-254853,,"Technica, LLC",RC,Barstow,CA,2/4/2020,9,0,9,"TEAMSTERS CHAUFFEURS, WAREHOUSEMEN, INDUSTRIAL AND ALLIED WORKERS OF AMERICA, LOCAL 166",Stipulated,WON,,2/18/2020,Certific. of Representative,,,,,
31,31-RC-255625,,"HONEYVILLE, INC.",RC,Rancho Cucamonga,CA,3/6/2020,28,13,14,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166",Directed,WON,,3/16/2020,Certific. of Representative,,,,,
31,31-RC-258907,,So-Cal Structural Steel Fabrication Inc.,RC,Rialto,CA,5/4/2020,15,5,9,District Council of Iron Workers of the State of California and Vicinity,Directed,WON,,6/9/2020,Certific. of Representative,,,,,
31,31-RC-260997,,"EMCOR Government Services, Inc",RC,Pasadena,CA,6/18/2020,38,4,28,International Union of Operating Engineers - Local 501 AFL-CIO,Directed,WON,,7/22/2020,Certific. of Representative,,,,,
31,31-RC-261494,,"JetStream Ground Services, Inc.",RC,Los Angeles,CA,7/15/2020,53,2,16,"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED SERVICES WORKERS WEST",Directed,WON,,8/19/2020,Certific. of Representative,,,,,
31,31-RC-262260,,"Spotless Facility Services, Inc.",RC,San Luis Obispo,CA,7/30/2020,14,1,9,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS AND ITS AFFILIATED LABORERS LOCAL 220,Stipulated,WON,,9/3/2020,Certific. of Representative,,,,,
31,31-RC-262633,,"Daylight Transport, LLC",RC,Fontana,CA,8/19/2020,61,27,17,Teamsters Local 63,Directed,,LOSS,9/22/2020,Certification of Results,,,,,
31,31-RD-223318,,"Arakelian Enterprises, Inc. d/b/a Athens Services",RD,Torrance,CA,3/19/2020,114,78,23,"Package and General Utility Drivers, Local 396, International Brotherhood of Teamsters",Stipulated,,LOSS,6/30/2020,Certification of Results,,,,,
31,31-RD-223335,,"Arakelian Enterprises, Inc. d/b/a Athens Services",RD,Sun Valley,CA,3/19/2020,11,8,3,"Package and General Utility Drivers, Local 396, International Brotherhood of Teamsters",Stipulated,,LOSS,6/30/2020,Certification of Results,,,,,
32,32-RC-246415,,"Macy's West Stores, Inc.",RC,Santa Clara,CA,9/5/2019,234,90,86,TEAMSTERS LOCAL 287,Stipulated,,LOSS,1/10/2020,Certification of Results,,,,,
32,32-RC-248038,,"Fox Television Stations, LLC d/b/a KTVU-TV",RC,Oakland,CA,10/23/2019,12,3,9,International Brotherhood of Electrical Workers Local 45,Stipulated,WON,,11/1/2019,Certific. of Representative,,,,,
32,32-RC-248241,,"Valley Pride, Inc.",RC,Salinas,CA,10/24/2019,14,8,5,TEAMSTERS UNION LOCAL 890,Stipulated,,LOSS,11/5/2019,Certification of Results,,,,,
32,32-RC-248268,,Hallcon Corporation (US),RC,San Jose,CA,10/3/2019,6,0,4,Teamsters Local 853,Stipulated,WON,,10/11/2019,Certific. of Representative,,,,,
32,32-RC-248601,,"SJ Automotive, LLC d/b/a Lexus of Stevens Creek",RC,Santa Clara,CA,11/13/2019,9,3,6,"MACHINISTS AUTOMOTIVE TRADES LOCAL 1101, DISTRICT LODGE NO. 190",Directed,WON,,11/21/2019,Certific. of Representative,,,,,
32,32-RC-248845,,"DFWS, Inc. d/b/a The Guild San Jose",RC,San Jose,CA,10/18/2019,26,6,10,"United Food & Commercial Workers Union, Local 5, AFL-CIO",Stipulated,WON,,3/31/2020,Certific. of Representative,,,,,
32,32-RC-249501,,Bell Limo a Series of Platinum LV Transportation d/b/a Bell Limo and Airport Mini Bus a Series of Pl,RC,Reno,NV,10/23/2019,26,0,13,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS, LOCAL 533",Stipulated,WON,,11/1/2019,Certific. of Representative,,,,,
32,32-RC-249671,,Lockheed Martin Rotary Mission Systems (RMS),RC,Lemoore,CA,10/21/2019,4,0,3,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, DISTRICT LODGE 725",Stipulated,WON,,11/19/2019,Certific. of Representative,,,,,
32,32-RC-249877,,"Groceryworks.com Operating Company, LLC",RC,Oakland,CA,11/8/2019,185,47,56,"UNITED FOOD & COMMERCIAL WORKERS UNION, LOCAL 5",Stipulated,WON,,11/21/2019,Certific. of Representative,,,,,
32,32-RC-250991,,St. Francis Extended Care,RC,Hayward,CA,11/22/2019,48,9,31,"SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 2015",Stipulated,WON,,12/3/2019,Certific. of Representative,,,,,
32,32-RC-251444,,"T-Mobile USA, Inc.",RC,Pinole,CA,11/21/2019,9,2,7,"COMMUNICATIONS WORKERS OF AMERICA, LOCAL 9404, AFL-CIO",Stipulated,WON,,12/3/2019,Certific. of Representative,,,,,
32,32-RC-251545,,"MV Transportation, Inc.",RC,Hanford,CA,11/21/2019,2,0,2,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 517",Stipulated,WON,,12/3/2019,Certific. of Representative,,,,,
32,32-RC-252553,,"Cushman & Wakefield U.S., Inc.",RC,Pleasanton,CA,12/30/2019,6,0,6,"INTERNATIONAL UNION OF OPERATING ENGINEERS, STATIONARY ENGINEERS, LOCAL 39, AFL-CIO",Stipulated,WON,,1/7/2020,Certific. of Representative,,,,,
32,32-RC-252602,,"Calaveras Transit Mix and Tuolumne Transit Mix, Divisions of George Reed, Inc.",RC,Modesto,CA,12/20/2019,9,6,3,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 439",Stipulated,,LOSS,12/31/2019,Certification of Results,,,,,
32,32-RC-253175,,Sutter Bay Medical Foundation dba Palo Alto Medical Foundation,RC,Sunnyvale,CA,1/7/2020,25,8,15,"ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20 IFPTE, AFL-CIO & CLC",Stipulated,WON,,1/15/2020,Certific. of Representative,,,,,
32,32-RC-253196,,"Rehabcare Group of California, LLC, dba Kindred Hospital Rehabilitation Services",RC,Santa Cruz,CA,1/7/2020,26,0,21,NATIONAL UNION OF HEALTHCARE WORKERS (NUHW),Stipulated,WON,,1/15/2020,Certific. of Representative,,,,,
32,32-RC-253321,,Grabango Co.,RC,Berkeley,CA,1/9/2020,47,18,25,"TEAMSTERS LOCAL 853, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",Stipulated,WON,,1/17/2020,Certific. of Representative,,,,,
32,32-RC-253760,,"Stericycle, Inc.",RC,San Jose,CA,1/24/2020,35,21,13,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 287,Stipulated,,LOSS,2/3/2020,Certification of Results,,,,,
32,32-RC-255054,,"MV Transportation, Inc.",RC,Pinole,CA,2/12/2020,9,0,8,"EAST BAY AUTOMOTIVE MACHINISTS LODGE NO. 1546, DISTRICT LODGE 190, INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO",Stipulated,WON,,2/20/2020,Certific. of Representative,,,,,
32,32-RC-255506,,Peters Bakery,RC,San Jose,CA,2/18/2020,14,4,6,UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 5,Stipulated,WON,,2/26/2020,Certific. of Representative,,,,,
32,32-RC-256089,,"Tartine Holdings JV, LLC",RC,Berkeley,CA,3/13/2020,18,0,18,International Longshore & Warehouse Union,Stipulated,WON,,3/24/2020,Certific. of Representative,,,,,
